Codigo_Comuna;Comuna;x;y
0;ALCALA;6;12
1;ALTO DE MISAEL;12;15
2;BOSQUES DE ZUNIGA;11;19
3;BUCAREST;9;13
4;EL CHINGUI;12;5
5;EL CHOCHO;15;10
6;EL DORADO;7;9
7;EL ESCOBERO;16;5
8;EL ESMERALDAL;14;13
9;EL PORTAL;7;14
10;EL SALADO;12;4
11;EL TRIANON;5;6
12;JARDINES;8;16
13;LA INMACULADA;13;11
14;LA MAGNOLIA;10;15
15;LA MINA;10;4
16;LA PAZ;5;8
17;LA PRADERA;13;10
18;LA SEBASTIANA;11;12
19;LAS ANTILLAS;7;6
20;LAS CASITAS;2;8
21;LAS FLORES;11;13
22;LAS ORQUIDEAS;11;16
23;LAS VEGAS;5;14
24;LOMA DE LAS BRUJAS;12;8
25;LOMA DEL ATRAVEZADO;16;12
26;LOMA DEL BARRO;3;6
27;LOMA DEL CHOCHO;15;10
28;LOS NARANJOS;10;12
29;MESA;9;11
30;MILAN VALLEJUELOS;5;11
31;OBRERO;10;13
32;PONTE VEDRA;10;16
33;PRIMAVERA;3;9
34;SAN JOSE;10;8
35;SAN MARCOS;8;13
36;SAN RAFAEL;9;6
37;SIN DATOS;29;29
38;TRIANON;5;6
39;URIBE ANGEL;12;13
40;VEREDA EL ESCOBERO;16;5
41;VEREDA EL VALLANO;17;7
42;VEREDA PALMAS;19;20
43;VEREDA PANTANILLO;23;25
44;VEREDA PERICO;24;26
45;VEREDA SANTA CATALINA;25;27
46;VILLA GRANDE;9;18
47;ZONA CENTRO;8;12
48;ZUNIGA;13;15
